delta,theta,alpha,beta,gamma,f1,f2,f3,f4
6417301395791552.0,8547779624621085.0,8463628554655760.0,3.653500888935523e+16,2.920791501049599e+16,14820746.106535036,537856699.9058619,24300000000.0,-46600000.0
5.601482716656592e+24,7.624144840136105e+24,7.616822138118755e+24,3.419262819371294e+25,2.853083013919833e+25,466876218739.193,16777906198420.408,671000000000000.0,-76000000.0
3.8531890605620664e+16,5.2520289319e+16,5.222431323442714e+16,2.2968843980092422e+17,1.874715489918747e+17,38058917.07823711,1345491154.6052265,52900000000.0,-182000000.0
2.8979037499060008e+25,3.916168826947314e+25,3.914229288028441e+25,1.7579958352798477e+26,1.4612114964107079e+26,1067517818015.7488,37957367214672.62,1370000000000000.0,-14800000000.0
5.877572311238036e+16,7.637289150766846e+16,7.390077884721712e+16,2.833768024296118e+17,1.6709562568007648e+17,38632492.810800515,1380255960.0170462,66200000000.0,-11600000.0
7.456051976477677e+22,1.0145074912771708e+23,1.0108494323200908e+23,4.486402269733641e+23,3.680002183402923e+23,53753758094.11672,1900079067170.2449,78500000000000.0,-7250000000.0
3.4643648347697614e+24,4.713552645131349e+24,4.713538879750872e+24,2.1211494130200307e+25,1.7674809663182542e+25,367754132999.0733,13205399439571.193,521000000000000.0,-89300000000.0
428161687221116.2,546186001219054.4,491377775839717.1,1227221158821546.2,429544425337915.94,3979771.3590405816,101006798.95320554,4250000000.0,-28100000.0
5339826705155471.0,7063323252010318.0,6761384012056092.0,2.5257376790563308e+16,1.8641886385249736e+16,14234440.69504322,453554921.4406424,18400000000.0,-33900000.0
4366617926983724.0,5738046816315096.0,5443695073325106.0,1.984741171543898e+16,1.469092360743585e+16,12831544.245475112,412567878.8894499,16700000000.0,-61000000.0
1.536277541708502e+23,2.1097492130938294e+23,2.1119490335532614e+23,9.528924284958638e+23,7.926507624371695e+23,74948309408.38411,2793618960529.449,124000000000000.0,-193000000000.0
5901712638371068.0,8007699850110512.0,8026094454795680.0,3.634669506855986e+16,3.012848081663431e+16,14917903.513199143,534588311.5857462,20200000000.0,-82300000.0
2.3690948238608972e+26,3.198635241932022e+26,3.198980097284787e+26,1.439968181604689e+27,1.1997533762253937e+27,3049041884474.8374,108888833827687.67,4020000000000000.0,-1320000000000.0
2795618084015238.0,3624721483062706.0,3300337316925633.0,9357480649300680.0,5756867506472942.0,10424022.907791955,300041129.1033491,10700000000.0,-48800000.0
5.639959795989898e+21,7.130471087734031e+21,6.541355470409251e+21,1.748429175194944e+22,1.743523234564987e+21,10949457907.545012,374295775317.66095,13500000000000.0,-48400000000.0
1.1970480983215678e+23,1.6374152441602237e+23,1.6364454414442433e+23,7.352084694606043e+23,6.12674917247441e+23,67231175827.12213,2457547184862.1187,105000000000000.0,-11800000.0
1.5529395509721625e+19,1.965870052500808e+19,1.8066672540747747e+19,4.866020478453677e+19,5.647633322665184e+18,559485091.9163915,19723389124.917183,774000000000.0,-4180000000.0
1.3954532431097788e+16,1.8011614933015244e+16,1.6294472982964256e+16,4.479521134374506e+16,2.6950319121328804e+16,23284048.56835293,665663607.1403006,24600000000.0,-164000000.0
2.0587555155178294e+25,2.8070561531074225e+25,2.810531208823855e+25,1.2687430784614827e+26,1.0553326908869453e+26,893722743399.821,32257875536416.69,1300000000000000.0,-1970000000000.0
9838357821258400.0,1.3568120801649176e+16,1.3570323760623284e+16,6.113788145496739e+16,5.0890204084365144e+16,18522887.968442038,691165442.653886,30800000000.0,-25700000.0
2.555312380011285e+24,3.4736903187853554e+24,3.4719120365258383e+24,1.560364162482058e+25,1.3010838859126651e+25,316167808286.7081,11331435447799.2,443000000000000.0,-204000000.0
2482196112749334.0,3385777989501432.0,3384157951257107.5,1.5214482548670244e+16,1.26383269302179e+16,9681816.349967938,345458390.76565564,13200000000.0,-17300000.0
2.0371206835938926e+18,2.657552119096607e+18,2.4794966194320645e+18,7.869898993838031e+18,3.421457666753051e+18,281580939.55139816,7069003755.938279,243000000000.0,-260000000.0
1119370493926720.0,1532015195137294.5,1529452500390590.0,6857852117314794.0,5706678578211804.0,6448057.12082612,232008594.13504186,9480000000.0,-2440000.0
