delta,theta,alpha,beta,gamma,f1,f2,f3,f4
4986171447510486.0,6709156728077132.0,6678824248357447.0,2.973725996721716e+16,2.491644866023773e+16,13582509.427418355,487273289.87945044,19800000000.0,-16900.0
1.3590215983548065e+27,1.8431541068659444e+27,1.8446725176895055e+27,8.318535197959713e+27,6.923626748170632e+27,7311484783572.842,261438216612704.94,9720000000000000.0,-11000000000000.0
4.167492236685901e+23,5.712131607607664e+23,5.709769073062899e+23,2.562761933902473e+24,2.1216936838897042e+24,124301016702.28633,4567453536311.351,201000000000000.0,-89700000000.0
2108099026695140.0,2845443441348681.0,2833754340111793.0,1.2593495167011312e+16,1.0389376112006856e+16,8898269.991942132,314983078.6293185,12200000000.0,-783000.0
3.0150813424865415e+19,4.035647069208157e+19,3.7213270504297325e+19,1.0319738607062214e+20,1.7285641191036461e+19,803829960.6571721,28422802923.32793,1200000000000.0,-7110000000.0
2.5851746276059637e+24,3.5725953838826023e+24,3.5714525959833243e+24,1.6050094140875668e+25,1.3346032949529557e+25,286999689571.9569,11444422770805.158,549000000000000.0,-164000000000.0
8375874386336118.0,1.1609519574325276e+16,1.1546752449004512e+16,5.122641410933845e+16,4.282479336874358e+16,15479417.841943406,633291073.0197228,30900000000.0,-1040000.0
8019680882521404.0,1.0880836035116928e+16,1.086991153446658e+16,4.880296449382281e+16,4.0601156122083576e+16,17427914.98179811,620636690.5436454,22700000000.0,-49000.0
3109976401729621.0,4254322128998406.0,4211941879681104.5,1.836362519149736e+16,1.5122658940726358e+16,10594357.366336336,381586617.8736232,16500000000.0,-245000.0
1.1248805185058308e+25,1.5248846578166244e+25,1.5261544723239805e+25,6.882388286498972e+25,5.727987967371994e+25,665288865998.2837,23780859692903.414,877000000000000.0,-1140000000000.0
2.480780070210198e+24,3.392361612346288e+24,3.393868121168424e+24,1.5290168793495874e+25,1.273226079453398e+25,307104762223.831,11201632855766.3,473000000000000.0,-347000000000.0
4.2630098037698105e+22,5.808839910632212e+22,5.8159061839124644e+22,2.6250727126835095e+23,2.1821098223881364e+23,40723530777.0632,1467062991798.571,58600000000000.0,-101000000000.0
2.414895587834106e+24,3.249300977371362e+24,3.248082499092306e+24,1.4602791082783244e+25,1.2174159476687572e+25,306290317539.27356,10973413226693.91,427000000000000.0,-60200000.0
3.204038248217318e+24,4.34317151258838e+24,4.33773801672044e+24,1.9458364854588707e+25,1.624390822616312e+25,354995434656.0412,12665628542136.904,476000000000000.0,-108000000.0
4.463248164975268e+22,6.007625798832558e+22,6.014965880939485e+22,2.715061777983152e+23,2.257272756491175e+23,41582319744.76111,1494108448320.3467,58600000000000.0,-101000000000.0
1.7200141654865336e+18,2.2775349929067315e+18,2.1471410841267953e+18,7.246852435963074e+18,3.6156796145315026e+18,258972899.35167155,7438413302.901166,286000000000.0,-33700000.0
1.269644000949798e+25,1.7090343590397723e+25,1.711105951103888e+25,7.7238582159803695e+25,6.424745880554978e+25,701413302605.6228,25205077154457.105,988000000000000.0,-1740000000000.0
1.949357831397639e+25,2.5965868537652328e+25,2.596098916877949e+25,1.16770312907316e+26,9.732606550523959e+25,830723357258.7517,31061685900883.555,1390000000000000.0,-146000000.0
2.5972014702206358e+19,3.4677495771737768e+19,3.182609955511763e+19,8.502016197332632e+19,8.838881139362963e+18,735121247.7588677,25915751631.921146,977000000000.0,-5300000000.0
4.981008483852442e+25,6.781394210791504e+25,6.774279914936312e+25,3.0403583242400736e+26,2.537418247394149e+26,1391309131174.5698,50033675296993.15,2010000000000000.0,-162000000.0
920980998466076.2,1244981161530414.0,1245408498195441.0,5611683417149228.0,4649580553344308.0,5866618.28464332,210440105.5991314,8310000000.0,-26200000.0
4656608095406624.0,6442594839754752.0,6472091651897410.0,2.9468980603736052e+16,2.430910157864349e+16,12661555.868819904,477479779.1795714,21500000000.0,-138000000.0
6671542222599718.0,9038976917636520.0,9081409241370656.0,4.136716822618274e+16,3.412908956630806e+16,15773136.477537815,569499885.4996588,22500000000.0,-155000000.0
8.013065291370304e+24,1.0872060669098538e+25,1.0862954856640993e+25,4.878063202248399e+25,4.069737417593409e+25,561075825501.3424,20045091482768.816,762000000000000.0,-113000000.0
2.203303792914309e+19,2.9433741606395466e+19,2.947715352297982e+19,1.3275476390588808e+20,1.0876932451011702e+20,894285209.4814334,32893059587.484848,1440000000000.0,-4780000000.0
296672174092880.5,389264157827477.56,354990406302165.06,988735979613953.9,490833729967563.25,3349896.4068211536,92325466.14405447,3760000000.0,-29700000.0
1.2309941330293298e+27,1.6678829303041186e+27,1.6690462145897836e+27,7.524049014561503e+27,6.263154090662476e+27,6960239053402.228,248678645514834.6,9100000000000000.0,-9000000000000.0
3338288168670845.5,4313708462501192.0,3850392971295871.0,9497952308704156.0,5119321474893945.0,11417586.720774334,315091283.1619674,10900000000.0,-75500000.0
1.6802815915218656e+16,2.2463111360122496e+16,2.2401011015089216e+16,1.0004321234299469e+17,8.322133687286784e+16,23962205.35386046,892966973.5483172,40100000000.0,-16500000.0
2.7993438462186293e+24,3.782730357060877e+24,3.781949399753764e+24,1.7010250888347287e+25,1.4177319305306853e+25,331738373448.73303,11836084632126.977,429000000000000.0,-235000000.0
905861605280954.5,1186797766997805.5,1137713165573515.2,4309236512969298.5,3306328839730533.5,5587142.774025875,191110651.6572234,8720000000.0,-13500000.0
2.809167531526083e+28,3.895314895608774e+28,3.8968631575952613e+28,1.7553625998782565e+29,1.461900064464449e+29,29730242368475.832,1169409396829927.5,5.54e+16,-27600000000000.0
8.403496129816121e+22,1.118333506252321e+23,1.1175839393703791e+23,5.0203600346972155e+23,4.1854281516659355e+23,54265829191.33869,2037396281913.2756,91900000000000.0,-13500000.0
3.0804938038325588e+16,4.007253371817103e+16,3.556792745568921e+16,9.006492251860992e+16,4.570074467770723e+16,33368633.240376886,921321440.7089651,28800000000.0,-78900.0
1343380679517316.2,1811375679279554.5,1809654099616398.5,8057944914071105.0,6441627932357960.0,7049085.561275268,249131791.69213215,10100000000.0,-40500000.0
2.058882397338339e+25,2.8027612045570976e+25,2.799660995474209e+25,1.2561905518270239e+26,1.0479028601119097e+26,894663182115.6993,32147891361772.93,1290000000000000.0,-934000000.0
1.0832026380711461e+20,1.380706867160994e+20,1.2672427879622776e+20,3.3851610179262015e+20,3.3134911523661427e+19,1916459020.7788687,52022044537.74156,1770000000000.0,-9070000000.0
4533673751590323.0,6126272556104041.0,6144557431483556.0,2.7882418073241076e+16,2.309233216663165e+16,12943921.457931282,468645718.72809434,19000000000.0,-81800000.0
1.73302362172848e+23,2.3390009637696234e+23,2.338523946854546e+23,1.0517738696647291e+24,8.763987268964601e+23,82451964284.25816,2943298712672.116,109000000000000.0,-96700000.0
1.4439902371511856e+27,1.946142221999712e+27,1.9478538945031552e+27,8.785074211220255e+27,7.311371278541741e+27,7503059980388.323,268845931037327.3,1.03e+16,-12300000000000.0
1.4054997995420635e+24,1.892563383305797e+24,1.892467779944002e+24,8.515234247013732e+24,7.095505420923392e+24,233940690505.1725,8376649877639.11,323000000000000.0,-61200000000.0
8792627300733382.0,1.1681039479827726e+16,1.1644510405903308e+16,5.201602480668161e+16,4.350033874360881e+16,16155105.24286568,646385950.5030982,31100000000.0,-72200.0
7290354739148064.0,9700090240160350.0,9686931173125264.0,4.345737886137042e+16,3.621405450315036e+16,14841870.972232834,589758182.0003703,28200000000.0,-26300000.0
3306692358989816.5,4525738141424831.0,4547173562993650.0,2.072693121445933e+16,1.7121525748891888e+16,11158345.893800173,401979038.1329448,15500000000.0,-102000000.0
2611089549492932.0,3614948913058877.0,3621053979443253.0,1.637905470621895e+16,1.3588037877814762e+16,9297814.695780456,356831305.38213784,16500000000.0,-55100000.0
1.6272878811850416e+16,2.199355260853723e+16,2.197244432468168e+16,9.868127156678821e+16,8.222715878078133e+16,24688949.253362354,884106740.9210209,34600000000.0,-269000.0
7602368969121568.0,1.0526814910412864e+16,1.0502935668781866e+16,4.69397323317461e+16,3.8997811830543576e+16,15459752.731531182,604676741.7626642,28700000000.0,-48300000.0
843016703048075.8,1136566235639811.0,1135749637530532.8,5105117907178380.0,4240442825227721.0,5581122.379529416,201020854.7572387,8200000000.0,-22000000.0
1.155332792106538e+25,1.560037588469864e+25,1.5616799211329165e+25,7.046593567589335e+25,5.8628360251062245e+25,672933838985.2848,24069312652915.348,895000000000000.0,-1400000000000.0
2.965442855597097e+26,3.9957282212036935e+26,3.9996933741570966e+26,1.80443682771363e+27,1.5014769022947467e+27,3398180061891.5117,121835109374913.89,4690000000000000.0,-5790000000000.0
2.265331012256503e+16,3.148083257648948e+16,3.1599251079107004e+16,1.4363279116688158e+17,1.1894455514802664e+17,26530734.608461395,1054394204.7973161,50200000000.0,-285000000.0
3.657054849396233e+24,4.899543046056921e+24,4.893574044386696e+24,2.195324595416426e+25,1.8324556837700035e+25,372689726918.3203,13469872908595.043,555000000000000.0,-28800.0
5806309951842493.0,7880616933217310.0,7862500124996269.0,3.51681221113854e+16,2.9219492982771532e+16,14839655.079786774,526616853.4609339,18900000000.0,-204000.0
1.5844933115660942e+25,2.135517005556308e+25,2.1376264460595154e+25,9.643649333763834e+25,8.024445545063997e+25,785872762936.0934,28165022572640.477,1080000000000000.0,-1450000000000.0
1.8744468502891663e+26,2.532445814538074e+26,2.5350310907937715e+26,1.1437469386484704e+27,9.516704449790457e+26,2712210878564.756,96967569539262.27,3570000000000000.0,-5240000000000.0
7.023706352017369e+26,9.571877611335947e+26,9.581348069864973e+26,4.322520466942819e+27,3.5968274118077946e+27,5224575993479.829,188334202316172.22,7550000000000000.0,-9110000000000.0
8146530239882584.0,1.0886073022107874e+16,1.0832639812630788e+16,4.726826844817227e+16,3.643949058596324e+16,16763567.245915346,592991189.651268,26100000000.0,-96500000.0
1.4804612817792772e+16,2.008904199780514e+16,1.9933357347459e+16,8.696979076201752e+16,7.046094296867537e+16,23709814.176269736,809058620.684269,29000000000.0,-26400000.0
1.3388124751652292e+20,1.7039466863090985e+20,1.5820782393947577e+20,4.606325245596082e+20,1.1191302191777461e+20,1616340126.2510517,60682064820.24054,2730000000000.0,-14600000000.0
9804380492570016.0,1.3044636952101904e+16,1.2946729078478222e+16,5.687982179716882e+16,4.727098149164106e+16,17947157.10280912,677600237.5747899,31300000000.0,-4720000.0
3.1075244235516385e+18,4.0748891475505777e+18,3.8053493224676285e+18,1.2166451748263709e+19,5.255196750561954e+18,350207038.13541305,9587763083.90627,327000000000.0,-11600000.0
2.265360007019972e+23,3.068668664573419e+23,3.073361543776409e+23,1.3883612429934902e+24,1.1539121481046927e+24,94407235914.57042,3375610466258.0483,122000000000000.0,-259000000000.0
1.8541666867343776e+26,2.466724377043209e+26,2.466474503689576e+26,1.10964818945884e+27,9.248273467647814e+26,2535149022186.9644,95764712763593.4,4350000000000000.0,-2210000000000.0
1.8105064051084618e+25,2.465185837518064e+25,2.4636820184311253e+25,1.1069641789578083e+26,9.232301741914186e+25,839002125092.4741,30179308812396.754,1210000000000000.0,-283000000.0
6892862462959669.0,9130040257534600.0,9046710953861514.0,3.948013285722367e+16,3.2667795131745756e+16,14354801.559086116,565302443.0378734,27200000000.0,-5760000.0
2.654227108557539e+26,3.601941682223633e+26,3.605075889835303e+26,1.6259030782918284e+27,1.353163964964615e+27,3230202313663.1123,115570418110305.11,4340000000000000.0,-5600000000000.0
8.17848462771924e+24,1.1013248495358888e+25,1.1026613569388986e+25,4.977410229278238e+25,4.140236155448979e+25,563464914380.2893,20232625908011.125,788000000000000.0,-1250000000000.0
1.8810809112800008e+22,2.5475767667153185e+22,2.5507292239023787e+22,1.151284923191889e+23,9.565933355127836e+22,27204845043.43838,972052130943.39,35100000000000.0,-71100000000.0
3586658918675742.0,4897772973342214.0,4914583290764268.0,2.2330465753587996e+16,1.8491402731483564e+16,11644039.570014553,417973658.1091464,15700000000.0,-82400000.0
2.2130518159244164e+16,2.942641739582993e+16,2.953219232940476e+16,1.341603999110182e+17,1.11072063484754e+17,23922263.991634734,1033338891.5801729,51200000000.0,-276000000.0
2.039478523387691e+23,2.7554220331614883e+23,2.7544401049035512e+23,1.2383612381960077e+24,1.0321140077053944e+24,89537471497.88548,3193754892364.9746,116000000000000.0,-126000000.0
3.5623397069582936e+16,4.84057458428028e+16,4.854177593315202e+16,2.1972022597727206e+17,1.8128586268809997e+17,36692938.86020484,1313167662.1636438,48500000000.0,-285000000.0
8134266916808790.0,1.114985418421601e+16,1.098265861419591e+16,4.6994365335517224e+16,3.869299045520926e+16,16631210.133699019,612467194.260332,28000000000.0,-2760000.0
2.2171260853173117e+19,2.8179337486323958e+19,2.6089323447739605e+19,7.407595855914294e+19,1.4889479255379341e+19,665406688.7825725,24248901505.113842,1060000000000.0,-6940000000.0
2301891312629283.0,3113153130218388.5,3028078340564611.5,1.2326315874918166e+16,9895066475085442.0,9233254.644056793,317578204.2528042,13400000000.0,-3600000.0
2.556836458217927e+16,3.342901133433936e+16,3.2102381502036388e+16,1.1794255539264432e+17,6.009816451020477e+16,29437363.717773054,847251098.5946603,28500000000.0,-1440000.0
4.288826025674362e+22,5.780010424761997e+22,5.581443785730072e+22,2.069682124382975e+23,1.073324178370493e+23,40100482693.35233,1085474597365.0365,37200000000000.0,-73900000000.0
3.870235354703452e+25,5.292460911251465e+25,5.298808880718372e+25,2.3917793825751533e+26,1.9895892051833877e+26,1214687375079.0818,44277799463541.66,1860000000000000.0,-2900000000000.0
1.0959702478320285e+25,1.4836027083811745e+25,1.4856862617591623e+25,6.709560138126236e+25,5.579418243177972e+25,656561464017.2949,23473385525197.05,839000000000000.0,-1620000000000.0
688800248873960.0,940853319666505.0,943170572343449.0,4269990655977636.0,3523552779743350.0,5099582.037312422,182492876.0405914,6940000000.0,-46300000.0
1.3841795097815724e+16,1.8285819876344984e+16,1.7809075416138274e+16,7.269339470159731e+16,5.7164278335204424e+16,21932377.503570646,772780780.5765707,35500000000.0,-125000000.0
9.718451683516402e+18,1.2284403343324156e+19,1.1266765815604503e+19,2.995355992499358e+19,2.9554785350376796e+18,440690095.0615637,14684351257.313831,569000000000.0,-3810000000.0
5.622815298975506e+24,7.633197963850801e+24,7.636001305922845e+24,3.4395107060053174e+25,2.864426222378631e+25,469968998685.97784,16814204667649.3,638000000000000.0,-350000000000.0
2154714498433025.2,2907942307712568.0,2864666145425570.0,1.2241082797982748e+16,9936925396667248.0,9057190.208457025,312426847.34124464,11300000000.0,-743000.0
8445332175974130.0,1.1253602223360722e+16,1.125467755681636e+16,5.0685835433983976e+16,4.215123986415634e+16,16140938.993952256,635980260.3589067,30200000000.0,-26100000.0
9.474560237257925e+24,1.2769160256199348e+25,1.2771738080150845e+25,5.750354770187342e+25,4.790037417265378e+25,608204824304.4425,21761274074449.78,829000000000000.0,-387000000000.0
6622524107832399.0,8988335344152568.0,8926817390946930.0,3.9174224918136744e+16,3.20496080272668e+16,15852355.25929237,557959909.5951129,20700000000.0,-91200000.0
3133653414188161.0,4296718265220038.0,4168991959777271.0,1.6486793044001442e+16,1.2567317524094088e+16,9185967.85907288,358142243.1347197,17600000000.0,-109000000.0
3.839263629965903e+24,5.148187847915817e+24,5.151397751159221e+24,2.3218589625896495e+25,1.9329241192078644e+25,381576952386.8209,13831596499166.75,571000000000000.0,-546000000000.0
2092060409681280.5,2832193916888110.0,2836913378689902.0,1.2834150571282634e+16,1.0647046383251396e+16,8854634.739799185,318024775.3964875,12400000000.0,-49700000.0
2019872685204276.0,2728287286078641.0,2719038615988384.0,1.214173141626e+16,1.0151423119545146e+16,8714600.38946966,310666441.4245684,12000000000.0,-12000.0
2.366274234965614e+23,3.189128071701167e+23,3.192387677369905e+23,1.4403048219900257e+24,1.1981517947775497e+24,96030195791.0861,3441676616063.6953,132000000000000.0,-207000000000.0
4.6128573002668666e+26,6.282231448159469e+26,6.286559084372683e+26,2.8339569356051676e+27,2.3592055126964906e+27,4238563361096.333,152542612937012.94,6070000000000000.0,-5530000000000.0
1.7414031332905148e+16,2.368421229929978e+16,2.3580328091925344e+16,1.0444485780046618e+17,8.592147349977651e+16,25681611.612225745,909016769.4221212,34200000000.0,-139000000.0
2740458445417665.5,3685709424560915.5,3634374488450837.5,1.5472844032931372e+16,1.2263301629716828e+16,10186642.331082692,349725116.2186583,13300000000.0,-54400000.0
3.6254783013467185e+19,4.867582773237385e+19,4.51656308665687e+19,1.313249320688273e+20,3.215298930072175e+19,862186385.2602749,32080099981.74857,1440000000000.0,-6780000000.0
711719880253572.2,957470411967099.0,954343709735976.8,4218010202630633.5,3358271347953127.5,5115048.111213696,180234482.68197787,7490000000.0,-23000000.0
4193382747232410.5,5622564162831112.0,5619561321824379.0,2.5217601041328828e+16,2.0795258893415464e+16,12116782.232491858,446164815.9549027,19600000000.0,-61900000.0
4577734516303816.0,6197883885174655.0,6127269380827229.0,2.6406023139604924e+16,2.1408708686477492e+16,13188960.444833877,457090209.890544,17000000000.0,-7080000.0
1.433187251386823e+25,1.9410402788151863e+25,1.9429763422419126e+25,8.765822121424239e+25,7.293796686302187e+25,750975557122.8104,26837543876938.105,972000000000000.0,-1410000000000.0
2358036949043564.0,3222276730553699.0,3223443381881658.5,1.4534361746121508e+16,1.2084686249283348e+16,9415655.835310215,337811282.4788748,13200000000.0,-18700000.0
1683664921913615.2,2278304308511686.5,2273420988264439.5,1.006678953864962e+16,7956365348647931.0,7970548.959895891,277044505.7297102,10500000000.0,-48500000.0
9.898865401400906e+25,1.3354566788112599e+26,1.3369431094147345e+26,6.033391590266221e+26,5.01947190920888e+26,1967297167403.7976,70433528659291.14,2660000000000000.0,-4140000000000.0
1128356834398034.0,1513211397533089.5,1511142019344679.5,6783618149095617.0,5653504548141559.0,6312824.778726917,232391122.0798387,10100000000.0,-39400000.0
410710232421373.4,528891335294339.8,471003714690925.9,1104099803283024.8,71666474061364.31,4037475.845173725,83479756.88436583,2070000000.0,-6540000.0
7.503041352358721e+25,1.0141673426211366e+26,1.0152052109716209e+26,4.5803896195067496e+26,3.8111476027194345e+26,1716676643128.2214,61360408212889.58,2240000000000000.0,-3040000000000.0
5543987561005795.0,7454317933769850.0,7432744681300068.0,3.3050301241419508e+16,2.717545879484967e+16,14229268.342382351,510386102.4718645,21300000000.0,-61900000.0
4.7183448220105896e+24,6.378928376849247e+24,6.372039314154413e+24,2.856971140359876e+25,2.374325259528461e+25,430944225990.0428,15308071753444.645,547000000000000.0,-6550000000.0
2.0123589504716804e+16,2.7471759736500028e+16,2.7306564062670264e+16,1.2039272186360134e+17,9.956500799528806e+16,27384449.37584418,974561224.6600142,39600000000.0,-5550000.0
7682092421434415.0,1.0357321768450596e+16,1.0243724486685612e+16,4.437829347298278e+16,3.6606074679144824e+16,17061641.46689807,595640656.7218931,21900000000.0,-12600000.0
7812712402883451.0,1.0598151437648492e+16,1.0604333923962544e+16,4.7822882555383624e+16,3.975596477706522e+16,17182405.666571572,614083407.9450386,22900000000.0,-37000000.0
4.002481846805977e+23,5.4492644091105744e+23,5.4485170767275123e+23,2.4510439394863445e+24,2.0425242948013412e+24,124830917386.17097,4488886028995.706,179000000000000.0,-19300000000.0
1.3383670874660293e+17,1.8604730528668966e+17,1.8569205119736115e+17,8.172601506696941e+17,6.260993167594179e+17,57951461.942940116,2285376238.4726696,113000000000.0,-951000000.0
2.4781477485818813e+25,3.345046841068253e+25,3.3418557847119363e+25,1.5001409531512217e+26,1.251473300922761e+26,986587609347.6133,35167582996732.535,1290000000000000.0,-780000000.0
7.633615502262176e+25,1.0369495031904003e+26,1.0371107461390009e+26,4.668944324425563e+26,3.8897260938025956e+26,1730426334388.7104,61958833573999.95,2380000000000000.0,-498000000000.0
8.225648458526036e+27,1.089137654209063e+28,1.0885689679515733e+28,4.892109686333578e+28,4.079858062510847e+28,16023604814943.188,636436592455661.0,3.04e+16,-28500000.0
1991172988873071.5,2726441452653104.0,2728786926398777.0,1.2320766255627622e+16,1.023736561011396e+16,8618816.529040225,310737362.5526323,12500000000.0,-36000000.0
5.175382647048155e+23,7.144020731176026e+23,7.129623598556508e+23,3.1910611038309767e+24,2.6635009251602237e+24,128847893565.06941,5117664798911.955,245000000000000.0,-48400000.0
7547508385004298.0,1.0030307748801452e+16,9983791419198120.0,4.423858209183449e+16,3.650841179171096e+16,15245679.617267624,596046231.9099454,28400000000.0,-55100000.0
1.94190158451416e+16,2.628507092537462e+16,2.593524298888316e+16,1.1105656477003498e+17,8.984357657664603e+16,27156073.216723163,943100788.7290381,35500000000.0,-125000000.0
3112559058891369.0,4188547205585225.0,4190720939120412.5,1.8877891377603316e+16,1.5616606973352886e+16,10613730.757262127,386206279.52054614,16300000000.0,-41600000.0
6719474507832050.0,9023280189239816.0,9044841903105856.0,4.096837231090245e+16,3.391998268844809e+16,15325614.929320408,569279590.6788104,25100000000.0,-121000000.0
342190849836143.44,442651098405620.9,409795160271573.5,1254338971618019.5,725181468084671.5,3538882.900420015,104013998.16166253,4510000000.0,-50100000.0
2.166773826210408e+24,2.840786073250195e+24,2.844739407276649e+24,1.2844317488492846e+25,1.0675400401170478e+25,207101623302.89368,10460090142830.617,528000000000000.0,-1090000000000.0
573627383139788.0,751635579254459.0,698698073859498.5,2199472756779272.8,1338159863688746.5,4711517.851662477,136796647.8023069,4800000000.0,-30400000.0
4.865163858349951e+16,6.637027181497458e+16,6.611089682893393e+16,2.906228272203715e+17,2.316940813490107e+17,42788165.50931101,1448529596.3249753,54200000000.0,-315000000.0
2230328909806475.5,3002091306725001.5,2993683849752949.5,1.3389035582900592e+16,1.1187722633321724e+16,9064491.329461621,326499131.9630651,13400000000.0,-31400.0
9.272738604452634e+26,1.2553225751547534e+27,1.2557758182858678e+27,5.656290148275275e+27,4.7110023651472844e+27,6041050046750.876,215703705577188.3,7800000000000000.0,-4470000000000.0
3069908504838069.0,4151915180027981.0,4165310218261275.0,1.891521662313334e+16,1.5658526208879682e+16,10675533.298388796,385856585.3785789,15500000000.0,-102000000.0
3.2598472192714458e+25,4.443991678809067e+25,4.442670328062326e+25,1.9977375914474216e+26,1.665421801131145e+26,1122952549392.4954,40527479392336.14,1650000000000000.0,-283000000.0
7.348492765821165e+16,9.929555453290326e+16,9.964141083847174e+16,4.520161034721165e+17,3.7351772546750106e+17,52042633.467128426,1887040979.1106749,77000000000.0,-494000000.0
3118634843110342.5,4252124837509084.0,4234888995209403.0,1.8769367466245336e+16,1.5306513121208772e+16,10833745.15362863,381761577.2918503,15000000000.0,-4950000.0
2.813566941468844e+24,3.8208973525928877e+24,3.819302948344318e+24,1.7169206597256952e+25,1.4314953632541848e+25,332222466500.76685,11886931139082.523,457000000000000.0,-115000000.0
3409486522650696.0,4622054792838855.0,4623034058505594.0,2.0829915410452944e+16,1.7304882243072836e+16,11345782.781830022,405306359.63418335,15200000000.0,-40300000.0
5165144065272090.0,7148340157738000.0,7155505269378728.0,3.2227068779496604e+16,2.6446150848898344e+16,13083077.18952652,498541278.4307879,23100000000.0,-85700000.0
2.909318703758295e+24,3.928632282969132e+24,3.9279595037148035e+24,1.7668643353586846e+25,1.472620645088236e+25,338000250508.79126,12063859001019.898,443000000000000.0,-41500000000.0
1750723786097964.2,2411082288935159.5,2407264228724481.5,1.0799528102650248e+16,9006347433133836.0,7837522.190919208,290900092.26169205,12900000000.0,-8840.0
1.2017883421063904e+25,1.6334829068484522e+25,1.6330480557949143e+25,7.343953807233542e+25,6.121900514022225e+25,685913244150.2988,24579307852747.44,957000000000000.0,-152000000.0
2.2672019267567678e+24,3.07958458016814e+24,3.0778403240879136e+24,1.383057549929553e+25,1.1533274646368008e+25,298128901033.75006,10669145325431.07,412000000000000.0,-248000000.0
2778737121014177.5,3758722634010516.5,3753289598106883.0,1.6811551347559824e+16,1.3902008532821254e+16,10225957.217558775,363937616.8919451,14000000000.0,-12600000.0
1.0402597005315743e+18,1.363020741212974e+18,1.3427075939438075e+18,5.533778517002312e+18,3.691622273186352e+18,160039713.31566277,6303849242.542928,313000000000.0,-1220000000.0
2.073718330731921e+22,2.8739787418697883e+22,2.859528041814489e+22,1.2607300795184084e+23,1.0222465497286166e+23,20430099844.79335,996715340538.1653,50300000000000.0,-5020000000.0
3.265988850342413e+24,4.414421476815701e+24,4.408863460017002e+24,1.977700221291451e+25,1.651006561916686e+25,358533239971.74005,12773057649384.225,456000000000000.0,-136000000.0
1.261110956273292e+27,1.706764413873203e+27,1.7076084771377439e+27,7.687464208176915e+27,6.376608637056033e+27,7044383282301.713,250841277946981.28,8980000000000000.0,-10300000000000.0
3233391847096758.5,4371769377635705.5,4383846714302420.0,1.9879620074072948e+16,1.6468219554424232e+16,10955180.967029033,395758462.1211125,15900000000.0,-89400000.0
5947767056431661.0,8092017444473910.0,8072779053471720.0,3.6125828431218504e+16,3.0125245426089532e+16,15012079.334418131,534142975.0876603,19900000000.0,-28900.0
6.98563254413498e+26,9.478706288099484e+26,9.469661860062597e+26,4.251088233517821e+27,3.547501267337563e+27,5238178220638.785,187148050644612.9,7130000000000000.0,-872000.0
7.315797095327325e+23,9.928019542147115e+23,9.914497145316272e+23,4.4462039019430216e+24,3.712163796221822e+24,169464168773.93378,6054072652652.627,232000000000000.0,-20100000.0
4341553282195177.0,5869226034990406.0,5891036194880840.0,2.677011395178122e+16,2.2117802850368716e+16,12666657.161657216,458745434.23041314,18600000000.0,-106000000.0
1656197658656170.8,2256413569524671.0,2259872334470405.0,1.0216780380311642e+16,8463596357478083.0,7920805.715246512,283038699.09689456,10400000000.0,-34900000.0
1.436930799558175e+19,1.8621641119530578e+19,1.7155090026958586e+19,4.698808475459396e+19,6.70323605106981e+18,752548482.130122,19285539201.530476,608000000000.0,-3980000000.0
1.7723057919321673e+23,2.3661282426198006e+23,2.201356239139641e+23,6.590273729196038e+23,1.7445904193593104e+23,76292353186.96062,1867645881025.3618,62200000000000.0,-191000000000.0
4.154533750130826e+23,5.640005988278744e+23,5.635797777852231e+23,2.5312899601866854e+24,2.1110877046654362e+24,127691279884.20074,4565257892031.375,175000000000000.0,-103000000.0
4.010649232239192e+25,5.421385436252062e+25,5.421800820001939e+25,2.440353244512058e+26,2.0333128702409402e+26,1255779353781.423,44821256390183.18,1620000000000000.0,-900000000000.0
8351716463319486.0,1.1331514793868652e+16,1.1325385402877784e+16,5.089214821934986e+16,4.2240692273206264e+16,17781393.040779628,633354731.8835895,23300000000.0,-36100000.0
8.824835863595942e+16,1.203183562058408e+17,1.2003455825115171e+17,5.3415987658105165e+17,4.389065204968196e+17,57707705.63766951,2052324870.4484558,79200000000.0,-444000000.0
3.9083234187773755e+23,5.195102373866989e+23,5.195690216347213e+23,2.3387410105957537e+24,1.948116750545474e+24,115358283082.48672,4395794842909.3306,202000000000000.0,-73700000000.0
1.633651174808738e+21,2.1806347919401193e+21,2.0043691555824586e+21,5.455979544997966e+21,7.114631394394572e+20,5864378516.908007,208561643510.0025,8630000000000.0,-25300000000.0
3.0865468698227376e+16,4.218310750401468e+16,4.207349061847027e+16,1.8817103112732384e+17,1.5724160725509306e+17,33954347.05859462,1218171579.3639884,48900000000.0,-337000.0
1.8317938226448398e+27,2.471710284413897e+27,2.4742788195037598e+27,1.1163797249462576e+28,9.28886911654541e+27,8465591638808.078,302987246710053.25,1.14e+16,-15400000000000.0
1469146489967541.0,1975421936085760.8,1975360289745995.2,8895599624437414.0,7394305555854184.0,7276147.016488302,265607547.2578673,11300000000.0,-18600000.0
1908250237293321.8,2532202824573286.0,2379817556730500.0,8405157562844016.0,6175446573458449.0,8493402.186983405,269746881.37179375,11000000000.0,-1460000.0
7204342159048824.0,9406930050552996.0,8724578233881498.0,2.821925767030907e+16,1.7929965480313524e+16,16681686.229000235,487059002.960133,19300000000.0,-9290000.0
