delta,theta,alpha,beta,gamma,f1,f2,f3,f4,beta_alpha,gamma_power,theta_alpha,stress_index,engagement_index,is_focus,is_memory,is_relaxed,is_stressed,is_engaged,score,label
0.0,0.0,0.08411508183853222,0.1080940638520033,0.07057186952062107,0.09271876976578998,0.06243081126285579,0.26705701181539115,0.018450352334956763,1.2850582372524055,0.07057186952062107,0.0,2.1240401296340505,1.2850582372524055,1,0,1,1,1,4,1
0.0,0.0,0.15686486895470483,0.05171928648793524,0.04291925355852572,0.07580567387227524,0.1148710635915276,0.4426846119079609,0.0025636746493019644,0.3297038854441257,0.04291925355852572,0.0,0.6033086781534862,0.3297038854441257,0,0,1,0,0,1,0
0.0,0.0,0.16937391292631893,0.18448764295752393,0.12391790390413879,0.16556677568637643,0.09851137148878619,0.3133272079893648,0.033830359271106794,1.0892264962390228,0.12391790390413879,0.0,1.820845493191926,1.0892264962390228,0,0,1,1,1,3,1
0.0,0.0,0.11183287467780009,0.07849141777010496,0.0723998548651466,0.08530389127078916,0.03884340511049864,0.17184925662966452,0.037151828758993616,0.7018572681689095,0.0723998548651466,0.0,1.3492447889333898,0.7018572681689095,0,0,1,1,0,2,0
0.0,0.0,0.14150393878311499,0.09338554392975883,0.06784337114813546,0.09902959944769203,0.04501195525424602,0.18873634677377937,0.03358137899089342,0.6599454742204518,0.06784337114813546,0.0,1.1393871935806443,0.6599454742204518,0,0,1,0,0,1,0
0.0,0.0,0.11687840658108747,0.07423998315517696,0.09113270273671982,0.08912276890704031,0.04525929414829519,0.17719616085120088,0.004821435344326131,0.6351844634295902,0.09113270273671982,0.0,1.4149001156774879,0.6351844634295902,0,0,1,1,0,2,0
0.0,0.0,0.12720295077341265,0.019596834391785705,0.013508464006996321,0.044976270890995096,0.11599267373580784,0.4844928942188161,0.0014022623182654867,0.15405837847515746,0.013508464006996321,0.0,0.260253696504696,0.15405837847515746,0,0,1,0,0,1,0
0.0,0.0,0.11377717465646901,0.05812394974476854,0.04202687458684721,0.06801298718321333,0.046896978489653046,0.1735790486311709,0.008106960805412513,0.51085324509962,0.04202687458684721,0.0,0.8802287840704214,0.51085324509962,0,0,1,0,0,1,0
0.0,0.0,0.08321596267556651,0.04092239031720918,0.027491313180024634,0.048138014122502355,0.04750496561120713,0.20375879966446972,0.01128461047163215,0.4917553945912578,0.027491313180024634,0.0,0.8221124792063685,0.4917553945912578,0,0,1,0,0,1,0
0.0,0.0,0.19816435368553942,0.10014199868826396,0.06617215510543226,0.11615512654187489,0.09434397604875644,0.410027927500272,0.01838369063479684,0.5053456460768376,0.06617215510543226,0.0,0.8392695832068274,0.5053456460768376,0,0,1,0,0,1,0
0.0,0.0,0.139332840349117,0.067979730529433,0.0817481253285481,0.08926010668413278,0.07056122798363373,0.3121384543018581,0.011513645987850391,0.4878910274711581,0.0817481253285481,0.0,1.0745979259799392,0.4878910274711581,0,0,1,0,0,1,0
0.0,0.0,0.09411746172887794,0.08464982400379731,0.04412733849566887,0.07688611205803535,0.08905104386956199,0.2902811684290426,0.013373380460004969,0.899396594980946,0.04412733849566887,0.0,1.3682455082025005,0.899396594980946,0,0,1,1,0,2,0
0.0,0.0,0.0663244443883997,0.10634549190475273,0.08077380236510176,0.08994730764075173,0.04208622908656826,0.18206667760796544,0.030880590813402792,1.6033890595892113,0.08077380236510176,0.0,2.8212294089443235,1.6033890595892113,1,0,1,1,1,4,1
0.0,0.0,0.10527266306500427,0.059077958395745186,0.0805802089842367,0.07600219721018285,0.037384146406272606,0.13872665271616164,0.017732819630546334,0.5611845990318185,0.0805802089842367,0.0,1.3266201945850968,0.5611845990318185,0,0,1,1,0,2,0
0.0,0.0,0.16933835139160353,0.17957299787514996,0.09558074139328848,0.15601627213379796,0.12760162789901322,0.43047178996135455,0.0116263887587378,1.0604327724149643,0.09558074139328848,0.0,1.6248659098270386,1.0604327724149643,0,0,1,1,1,3,1
0.0,0.0,0.09395514773002459,0.09628082407842051,0.08147365694996647,0.09199761320920805,0.05633538212673278,0.23724982046593265,0.01173875739429173,1.0247421419945366,0.08147365694996647,0.0,1.8918877084993964,1.0247421419945366,0,0,1,1,1,3,1
0.0,0.0,0.07798983746392625,0.02950637935421039,0.0359020091963527,0.043226151342174925,0.05543244222759713,0.24913965289180337,0.009036012963128316,0.37833135678095803,0.0359020091963527,0.0,0.838667600932186,0.37833135678095803,0,0,1,0,0,1,0
0.0,0.0,0.14003049729464379,0.09589698028306856,0.07602605336739968,0.10196262780704514,0.05948941526620231,0.24670451414742983,0.010704551418585714,0.6848243583462463,0.07602605336739968,0.0,1.2277454499306015,0.6848243583462463,0,0,1,0,0,1,0
0.0,0.0,0.26189442209851277,0.18912483115486806,0.08211732083849434,0.1805653513116858,0.11333813981768302,0.5044956954184402,0.028608229664683512,0.7221387439285907,0.08211732083849434,0.0,1.0356887868445972,0.7221387439285907,0,0,1,0,0,1,0
